1 ; Neely Scholten  ; 1998/3/20 ; 953552871 ; 8th Street South ; music ;  ;
2 ; Zena Angulo   ; 1998/3/20 ; 966753986 ; Clark Street ; theatre ;  ;
3 ; Bud Granier   ; 1998/3/20 ; 954269970 ; Vine Street ; music ;  ;
4 ; Sunny Penniman   ; 1998/3/20 ; 959859517 ; Maple Street ; music ;  ;
5 ; Antionette Pecoraro   ; 1998/3/20 ; 943736166 ; Bush Route ; theatre ;  ;
6 ; Jeanelle Hickmon ; 956532767/956532767/956532767 ; 956532767 ;  ;  ;  ;
7 ; Dacia Canaday   ; 1998/3/20 ; 939045103 ; Ironwood Avenue ; theatre ;  ;
8 ; Clyde Lent   ; 949024952/949024952/949024952 ; 949024952 ;  ;  ;  ;
9 ; Bryant Bilski  	954867804 ; 3435973836/3435973836/3435973836 ; 3435973836 ;  ;  ;  ;
10 ; Voncile Emmert   ; 926995747/926995747/926995747 ; 926995747 ;  ;  ;  ;
11 ; Sherell Guimond   ; 968815045/968815045/968815045 ; 968815045 ;  ;  ;  ;
12 ; Danica Braxton   ; 945179472/945179472/945179472 ; 945179472 ;  ;  ;  ;
13 ; Rashida Corter   ; 930682975/930682975/930682975 ; 930682975 ;  ;  ;  ;
14 ; Raphael Driscoll   ; 934255711/934255711/934255711 ; 934255711 ;  ;  ;  ;
15 ; Belia Wiste   ; 930263431/930263431/930263431 ; 930263431 ;  ;  ;  ;
16 ; Jacelyn Goupil   ; 954265455/954265455/954265455 ; 954265455 ;  ;  ;  ;
17 ; Darron Mackiewicz ; 940163519/940163519/940163519 ; 940163519 ;  ;  ;  ;
18 ; Janetta Right   ; 933588347/933588347/933588347 ; 933588347 ;  ;  ;  ;
19 ; Lesha Dann   ; 947421456/947421456/947421456 ; 947421456 ;  ;  ;  ;
20 ; Brad Latour   ; 943071411/943071411/943071411 ; 943071411 ;  ;  ;  ;
21 ; Contessa Portera ; 922895609/922895609/922895609 ; 922895609 ;  ;  ;  ;
22 ; Margot Dundon   ; 930337296/930337296/930337296 ; 930337296 ;  ;  ;  ;
23 ; Laverna Lininger   ; 938707563/938707563/938707563 ; 938707563 ;  ;  ;  ;
24 ; Rafaela Kalb   ; 946983951/946983951/946983951 ; 946983951 ;  ;  ;  ;
25 ; Tuan Mccloy   ; 922161998/922161998/922161998 ; 922161998 ;  ;  ;  ;
26 ; Teena Casillas ; 940894692/940894692/940894692 ; 940894692 ;  ;  ;  ;
27 ; Lyla Krueger   ; 932626212/932626212/932626212 ; 932626212 ;  ;  ;  ;
28 ; Deb Rotunno   ; 958743813/958743813/958743813 ; 958743813 ;  ;  ;  ;
29 ; Barabara Carlisle   ; 962699188/962699188/962699188 ; 962699188 ;  ;  ;  ;
30 ; Concepcion Gran   ; 924457764/924457764/924457764 ; 924457764 ;  ;  ;  ;
31 ; Assunta Lappin   ; 933951725/933951725/933951725 ; 933951725 ;  ;  ;  ;
32 ; Fleta Sulik   ; 946152324/946152324/946152324 ; 946152324 ;  ;  ;  ;
33 ; Shela Keen   ; 942634984/942634984/942634984 ; 942634984 ;  ;  ;  ;
34 ; Antwan Jordahl   ; 924730364/924730364/924730364 ; 924730364 ;  ;  ;  ;
35 ; Gavin Merck   ; 960118824/960118824/960118824 ; 960118824 ;  ;  ;  ;
