1 ; Neely Scholten   ; 1954/10/2 ; 934495771 ; 8th Street South ; theatre ;  ;
2 ; Zena Angulo   ; 1975/11/15 ; 925101450 ; Clark Street ; dance ;  ;
3 ; Bud Granier   ; 1960/3/5 ; 948050704 ; Vine Street ; dance ;  ;
4 ; Sunny Penniman   ; 1967/11/5 ; 927552436 ; Maple Street ; theatre ;  ;
5 ; Antionette Pecoraro   ; 1948/8/27 ; 939277934 ; Bush Route ; music ;  ;
6 ; Jeanelle Hickmon   ; 1970/1/14 ; 957802175 ; Cave Row ; music ;  ;
7 ; Dacia Canaday   ; 1994/6/29 ; 969361556 ; Ironwood Avenue ; dance ;  ;
8 ; Clyde Lent   ; 1934/4/22 ; 952634433 ; Parkside Row ; theatre ;  ;
9 ; Bryant Bilski   ; 1939/9/1 ; 956245574 ; Art Row ; theatre ;  ;
10 ; Voncile Emmert   ; 1985/11/21 ; 928803884 ; Theater Avenue ; dance ;  ;
11 ; Sherell Guimond   ; 1996/3/25 ; 940285142 ; East Street ; dance ;  ;
12 ; Danica Braxton   ; 1969/4/14 ; 948994167 ; Gilded Lane ; music ;  ;
13 ; Rashida Corter   ; 2001/8/15 ; 968416786 ; Briarwood Court ; theatre ;  ;
14 ; Raphael Driscoll   ; 1971/1/19 ; 948136289 ; College Avenue ; theatre ;  ;
15 ; Belia Wiste   ; 1977/10/2 ; 939961849 ; Wetland Lane ; music ;  ;
16 ; Jacelyn Goupil   ; 1942/8/10 ; 968336318 ; Bury Lane ; dance ;  ;
17 ; Darron Mackiewicz   ; 1998/4/5 ; 952277983 ; Marble Street ; dance ;  ;
18 ; Janetta Right   ; 1988/1/7 ; 964866348 ; Arch Route ; music ;  ;
19 ; Lesha Dann   ; 1952/6/21 ; 944411678 ; Union Avenue ; theatre ;  ;
20 ; Brad Latour   ; 1991/10/16 ; 942006049 ; Pine Street ; theatre ;  ;
21 ; Contessa Portera   ; 1958/4/18 ; 958735140 ; Clove Street ; theatre ;  ;
22 ; Margot Dundon   ; 1949/4/30 ; 930710068 ; Barley Avenue ; music ;  ;
23 ; Laverna Lininger   ; 1991/3/12 ; 953854397 ; Terrace Avenue ; theatre ;  ;
24 ; Rafaela Kalb   ; 1982/5/14 ; 958721798 ; Brewer Route ; theatre ;  ;
25 ; Tuan Mccloy   ; 1950/9/1 ; 930043338 ; Orchard Lane ; music ;  ;
26 ; Teena Casillas   ; 1970/12/5 ; 954662619 ; Edgewood Road ; music ;  ;
27 ; Lyla Krueger   ; 1941/3/8 ; 921794439 ; Acorn Boulevard ; dance ;  ;
28 ; Deb Rotunno   ; 1976/1/5 ; 969450219 ; Hart Lane ; theatre ;  ;
